date,actual_return,dir_prob,clf_signal_basic,clf_signal_atr,atr_active,strategy_return_basic,strategy_return_atr,cum_basic,cum_atr,cum_hold
2024-02-08,0.0017226241286986182,0.518671452999115,1.0,1.0,1.0,0.0017226241286986182,0.0017226241286986182,0.011492298580938254,0.0031186414809187823,-0.026582463982571025
2024-02-09,0.00014004449588293628,0.5188741087913513,1.0,1.0,1.0,0.00014004449588293628,0.00014004449588293628,0.01163395250998267,0.0032591227253757626,-0.026446142214455737
2024-02-12,0.0019417861621718751,0.5174329280853271,1.0,1.0,1.0,0.0019417861621718751,0.0019417861621718751,0.013598329320149594,0.0052072374069565,-0.024555708805278798
2024-02-13,-0.0024050255479935757,0.5032142400741577,1.0,0.0,1.0,-0.0024050255479935757,-0.0,0.011160599442731067,0.0052072374069565,-0.02690167724624659
2024-02-14,-0.00589655284375755,0.5008224844932556,1.0,0.0,1.0,-0.00589655284375755,-0.0,0.005198237534591366,0.0052072374069565,-0.03263960292853596
2024-02-15,0.002165564317311912,0.5027650594711304,1.0,0.0,1.0,0.002165564317311912,0.0,0.0073750589696210955,0.0052072374069565,-0.030544721770657257
2024-02-16,0.00388170040799465,0.5009610056877136,1.0,0.0,1.0,0.00388170040799465,0.0,0.011285387147027093,0.0052072374069565,-0.026781586821621794
2024-02-19,0.0010241725388866125,0.4998572766780853,-1.0,0.0,1.0,-0.0010241725388866125,0.0,0.010249656424533793,0.0052072374069565,-0.025784843248505607
2024-02-20,-0.0008841038873163796,0.503672182559967,1.0,0.0,1.0,-0.0008841038873163796,-0.0,0.009356490776128767,0.0052072374069565,-0.02664615065567222
2024-02-21,0.0034974498351770826,0.5013595819473267,1.0,0.0,1.0,0.0034974498351770826,0.0,0.012886664468428677,0.0052072374069565,-0.02324189439571378
2024-02-22,0.0006706143712430367,0.49602147936820984,-1.0,0.0,1.0,-0.0006706143712430367,0.0,0.012207408114795815,0.0052072374069565,-0.022586866372867553
2024-02-23,0.0004870568217987158,0.4961693286895752,-1.0,0.0,0.0,-0.0004870568217987158,0.0,0.01171440559159831,0.0052072374069565,-0.0221108106384188
2024-02-26,-0.0005195577476647977,0.4897933304309845,-1.0,0.0,0.0,0.0005195577476647977,-0.0,0.012240049649447693,0.0052072374069565,-0.022618880543109232
2024-02-27,0.0028497835192923576,0.4854778051376343,-1.0,0.0,0.0,-0.0028497835192923576,0.0,0.009355384638389141,0.0052072374069565,-0.019833555936813352
2024-02-28,-0.0005640750300102595,0.48566871881484985,-1.0,0.0,0.0,0.0005640750300102595,-0.0,0.009924736807269907,0.0052072374069565,-0.020386443353163308
2024-02-29,-0.0005529550220347515,0.4886792302131653,-1.0,0.0,0.0,0.0005529550220347515,-0.0,0.01048317976236457,0.0052072374069565,-0.020928125588964508
2024-03-01,-0.0031275423260024677,0.4945889115333557,-1.0,0.0,0.0,0.0031275423260024677,-0.0,0.013643508676784988,0.0052072374069565,-0.023990214316383596
2024-03-04,0.0034852552521659795,0.5019333958625793,1.0,0.0,0.0,0.0034852552521659795,0.0,0.017176315039224788,0.0052072374069565,-0.020588571084664276
2024-03-05,0.0011500159935793875,0.5036762952804565,1.0,0.0,0.0,0.0011500159935793875,0.0,0.018346084069809976,0.0052072374069565,-0.019462232277117297
